,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
4571,2013-11-25,11.27,0.0,45.540001000000004,0.0,11.74,0.0,26.09,0.0,30.51,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64146.3113768979
4572,2013-11-26,11.31,0.0,45.599998,0.0,11.73,0.0,25.940001000000002,0.0,30.51,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64247.79887732008
4573,2013-11-27,11.29,0.0,45.73,0.0,11.74,0.0,26.02,0.0,30.65,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64374.094775738544
4574,2013-11-29,11.29,0.031,45.700001,0.0,11.75,0.0,26.24,0.0,30.76,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,64493.55494184537
4575,2013-12-02,11.2,0.0,45.549999,0.0,11.7,0.0,26.09,0.0,30.52,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,64087.300031562794
4576,2013-12-03,11.23,0.0,45.400002,0.0,11.63,0.0,25.85,0.0,30.209999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63848.979624184605
4577,2013-12-04,11.14,0.0,45.360001000000004,0.0,11.56,0.0,25.73,0.0,30.09,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63581.27978932601
4578,2013-12-05,11.11,0.0,45.209998999999996,0.0,11.48,0.0,25.76,0.0,29.959999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63361.79885125019
4579,2013-12-06,11.14,0.0,45.68,0.0,11.59,0.0,26.049999,0.0,30.309998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63892.81604376529
4580,2013-12-09,11.17,0.0,45.759997999999996,0.0,11.57,0.0,26.200001,0.0,30.379998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,64035.72586683849
4581,2013-12-10,11.25,0.0,45.599998,0.0,11.56,0.0,26.15,0.0,30.23,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63996.639856647686
4582,2013-12-11,11.16,0.0,45.049999,0.0,11.41,0.0,25.780001000000002,0.0,30.030001000000002,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63424.30745010777
4583,2013-12-12,11.13,0.0,44.939999,0.0,11.41,0.0,25.6,0.0,29.75,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63117.91813738052
4584,2013-12-13,11.17,0.0,44.98,0.0,11.37,0.0,25.59,0.0,29.709999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63181.522520509985
4585,2013-12-16,11.14,0.0,45.279999,0.0,11.37,0.0,25.67,0.0,30.09,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1813.0364162214632,63542.39070286038
4586,2013-12-17,11.09,0.091,45.169998,0.0,11.34,0.0,25.559998999999998,0.0,29.91,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1827.9134508360846,63435.62946792991
4587,2013-12-18,11.03,0.0,45.880001,0.0,11.5,0.0,25.860001,0.0,30.27,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1827.9134508360846,63926.336302831725
