,Date,VUSTX,VUSTX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,Enter 1,Shares 1,Capital
1218,2000-07-27,10.33,0.0,10.99,0.0,27.780001000000002,0.0,32.529999,0.0,10.54,0.0,VTSMX,539.5791930181223,17552.510609300323
1219,2000-07-28,10.31,0.0,10.7,0.0,27.34,0.0,31.809998999999998,0.0,10.36,0.0,VTSMX,539.5791930181223,17164.013590327275
1220,2000-07-31,10.3,0.052000000000000005,10.76,0.0,27.559998999999998,0.0,32.139998999999996,0.0,10.4,0.0,VTSMX,539.5791930181223,17342.074724023256
1221,2000-08-01,10.34,0.0,10.8,0.0,27.370001000000002,0.0,32.220001,0.0,10.54,0.0,VTSMX,539.5791930181223,17385.242138623096
1222,2000-08-02,10.34,0.0,10.83,0.0,27.25,0.0,32.240002000000004,0.0,10.61,0.0,VTSMX,539.5791930181223,17396.03426206265
1223,2000-08-03,10.38,0.0,10.77,0.0,26.67,0.0,32.57,0.0,10.56,0.0,VTSMX,539.5791930181223,17574.094316600243
1224,2000-08-04,10.41,0.0,10.81,0.0,27.030001000000002,0.0,32.849998,0.0,10.48,0.0,VTSMX,539.5791930181223,17725.17541148693
1225,2000-08-07,10.37,0.0,10.72,0.0,27.280001000000002,0.0,33.23,0.0,10.6,0.0,VTSMX,539.5791930181223,17930.2165839922
1226,2000-08-08,10.4,0.0,10.67,0.0,27.08,0.0,33.27,0.0,10.55,0.0,VTSMX,539.5791930181223,17951.79975171293
1227,2000-08-09,10.41,0.0,10.74,0.0,27.26,0.0,33.07,0.0,10.67,0.0,VTSMX,539.5791930181223,17843.883913109305
1228,2000-08-10,10.45,0.0,10.86,0.0,27.49,0.0,32.77,0.0,10.64,0.0,VTSMX,539.5791930181223,17682.01015520387
1229,2000-08-11,10.4,0.0,10.94,0.0,27.4,0.0,33.07,0.0,10.68,0.0,VTSMX,539.5791930181223,17843.883913109305
